Timestamp,Franklin BBQ,Home Slice Pizza,The Jackalope,Tacodeli,Hopdoddy Burger Bar,HandleBar,Salty Sow,Moonshine Patio Bar & Grill,Torchy's Tacos,Rio Rita,Uchi,Mozart's Coffee Roasters,Jo's Coffee,Uchiko,Houndstooth Coffee,Summermoon Coffee Bar,Cactus Cafe,Dominican Joe,Icenhauer's,Clive Bar,Anderson Mill Tavern,Continental Club,Kerbey Lane Café,Donn's Depot,Bennu Coffee,Jack Allen's Kitchen,East Side King @ Liberty Bar,Bufalina,The White Horse,BuzzMill Coffee,Bouldin Creek Cafe,Via 313 Pizza,Magnolia Cafe,Did I leave anything else? Where do you love to take friends from out of town?,Anything else?,Your name
11/12/2014 9:31:29,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,No,,,
11/12/2014 9:31:50,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,No,No,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,No,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,,,
11/12/2014 9:32:21,Yes,Yes,No,Yes,Yes,Never heard of it / Never been there,Yes,No,Yes,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,No,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Polvos,,
11/12/2014 9:34:06,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Yes,No,Yes,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Never heard of it / Never been there,Yes,Contgio is great. The new Dai Due restaurant is legit also.,,
11/12/2014 9:34:54,Never heard of it / Never been there,Yes,No,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,No,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,Never heard of it / Never been there,No,No,No,No,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,,Yes,No,No,Yes,Never heard of it / Never been there,No,Never heard of it / Never been there,Yes,,,
11/12/2014 9:35:11,Never heard of it / Never been there,Never heard of it / Never been there,No,Yes,Yes,No,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,No,Yes,No,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,,,
11/12/2014 9:35:37,Yes,Yes,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,,,
11/12/2014 9:35:54,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,No,No,No,No,Never heard of it / Never been there,Yes,Yes,Yes,Yes,Yes,Yes,No,,,
11/12/2014 9:36:56,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,,,
11/12/2014 9:37:28,Never heard of it / Never been there,No,Yes,No,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,No,Never heard of it / Never been there,No,Yes,No,No,No,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Yes,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,Never heard of it / Never been there,No,"Brick Oven pizza 

Olivia

Kome for regular sushi

Café Java for breakfast (kerby lane is crap)

You have Torchy's on the list, everyone I take there says it's their favorite place in Austin. ",,
